lic_cd,lic_nm,co_lic_cd,co_lic_nm,co_cnt
11028,전산세무2급 (국가공인),11033,전산회계1급 (국가공인),31046
10133,컴퓨터활용능력2급,11033,전산회계1급 (국가공인),21871
25805,정보기술자격(ITQ)한글파워포인트 A등급,26812,정보기술자격(ITQ) 아래한글 A등급,18759
25804,정보기술자격(ITQ)한글엑셀 A등급,26812,정보기술자격(ITQ) 아래한글 A등급,17884
10133,컴퓨터활용능력2급,9953,워드프로세서1급,17374
25804,정보기술자격(ITQ)한글엑셀 A등급,25805,정보기술자격(ITQ)한글파워포인트 A등급,14877
10133,컴퓨터활용능력2급,11028,전산세무2급 (국가공인),12700
11033,전산회계1급 (국가공인),11034,전산회계2급 (국가공인),12210
10133,컴퓨터활용능력2급,11034,전산회계2급 (국가공인),11949
11033,전산회계1급 (국가공인),33241,회계정보처리(FAT)1급 (국가공인),11222
10133,컴퓨터활용능력2급,26812,정보기술자격(ITQ) 아래한글 A등급,10268
10349,지게차운전기능사,25014,굴착기운전기능사,8872
10132,컴퓨터활용능력1급,27287,한국사능력검정시험 1급,8705
10278,양식조리기능사,10390,한식조리기능사,8503
10133,컴퓨터활용능력2급,27287,한국사능력검정시험 1급,8151
10333,제과기능사,10335,제빵기능사,7989
11028,전산세무2급 (국가공인),33241,회계정보처리(FAT)1급 (국가공인),7960
10133,컴퓨터활용능력2급,25804,정보기술자격(ITQ)한글엑셀 A등급,7926
10079,위험물산업기사,10579,산업안전기사,7503
10133,컴퓨터활용능력2급,31901,워드프로세서 단일등급,7246
10133,컴퓨터활용능력2급,25805,정보기술자격(ITQ)한글파워포인트 A등급,7192
10133,컴퓨터활용능력2급,10330,정보처리기능사,6927
10682,정보처리기사,28267,SQL개발자(SQLD자격),6912
10133,컴퓨터활용능력2급,9954,워드프로세서2급,6821
10659,전기공사기사,10662,전기기사,6601
11034,전산회계2급 (국가공인),26812,정보기술자격(ITQ) 아래한글 A등급,6504
11033,전산회계1급 (국가공인),26812,정보기술자격(ITQ) 아래한글 A등급,6450
14548,요양보호사,9908,간호조무사,6316
11028,전산세무2급 (국가공인),11034,전산회계2급 (국가공인),6166
10329,정보기기운용기능사,10330,정보처리기능사,6154
10132,컴퓨터활용능력1급,11033,전산회계1급 (국가공인),6087
10330,정보처리기능사,9953,워드프로세서1급,6040
11033,전산회계1급 (국가공인),9953,워드프로세서1급,5834
10133,컴퓨터활용능력2급,33241,회계정보처리(FAT)1급 (국가공인),5616
10266,승강기기능사,21238,전기기능사,5596
11033,전산회계1급 (국가공인),25804,정보기술자격(ITQ)한글엑셀 A등급,5362
17253,정보기술자격(ITQ) 한글파워포인트,17299,정보기술자격(ITQ) 한글엑셀,5085
21219,컴퓨터응용선반기능사,21759,컴퓨터응용밀링기능사,5068
10133,컴퓨터활용능력2급,23440,GTQ포토샵1급,4961
10079,위험물산업기사,10483,산업안전산업기사,4926
23440,GTQ포토샵1급,30370,GTQ일러스트 1급,4922
10133,컴퓨터활용능력2급,10329,정보기기운용기능사,4800
11034,전산회계2급 (국가공인),25804,정보기술자격(ITQ)한글엑셀 A등급,4755
10349,지게차운전기능사,21238,전기기능사,4740
10104,전산회계운용사3급,10133,컴퓨터활용능력2급,4640
11033,전산회계1급 (국가공인),35862,재경관리사 (국가공인),4471
17253,정보기술자격(ITQ) 한글파워포인트,26812,정보기술자격(ITQ) 아래한글 A등급,4467
10329,정보기기운용기능사,9954,워드프로세서2급,4425
10370,컴퓨터그래픽스운용기능사,23440,GTQ포토샵1급,4384
11033,전산회계1급 (국가공인),25805,정보기술자격(ITQ)한글파워포인트 A등급,4382
11028,전산세무2급 (국가공인),35862,재경관리사 (국가공인),4346
10329,정보기기운용기능사,9953,워드프로세서1급,4165
10132,컴퓨터활용능력1급,11028,전산세무2급 (국가공인),4142
10349,지게차운전기능사,23320,자동차정비기능사,4101
10134,컴퓨터활용능력3급,9954,워드프로세서2급,4098
11033,전산회계1급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),4074
11034,전산회계2급 (국가공인),25805,정보기술자격(ITQ)한글파워포인트 A등급,3977
10348,중식조리기능사,10390,한식조리기능사,3912
10104,전산회계운용사3급,11034,전산회계2급 (국가공인),3894
10349,지게차운전기능사,25283,화물운송종사,3881
10330,정보처리기능사,9954,워드프로세서2급,3870
11033,전산회계1급 (국가공인),27287,한국사능력검정시험 1급,3854
28267,SQL개발자(SQLD자격),35054,데이터분석준전문가(ADsP),3815
10133,컴퓨터활용능력2급,10349,지게차운전기능사,3813
10349,지게차운전기능사,10483,산업안전산업기사,3747
10278,양식조리기능사,10348,중식조리기능사,3737
10133,컴퓨터활용능력2급,10571,사무자동화산업기사,3570
10594,소방설비기사(전기분야),10662,전기기사,3567
10133,컴퓨터활용능력2급,17266,유통관리사2급,3545
10133,컴퓨터활용능력2급,27288,한국사능력검정시험 2급,3544
10132,컴퓨터활용능력1급,9953,워드프로세서1급,3535
10104,전산회계운용사3급,11033,전산회계1급 (국가공인),3513
10133,컴퓨터활용능력2급,10682,정보처리기사,3467
10133,컴퓨터활용능력2급,27499,ERP 인사 정보관리사 2급(국가공인),3435
17299,정보기술자격(ITQ) 한글엑셀,26812,정보기술자격(ITQ) 아래한글 A등급,3433
10104,전산회계운용사3급,26812,정보기술자격(ITQ) 아래한글 A등급,3413
10547,대기환경기사,10606,수질환경기사,3392
11033,전산회계1급 (국가공인),33238,세무정보처리(TAT)2급 (국가공인),3313
10134,컴퓨터활용능력3급,10329,정보기기운용기능사,3295
10133,컴퓨터활용능력2급,10579,산업안전기사,3294
10547,대기환경기사,10579,산업안전기사,3256
27287,한국사능력검정시험 1급,9953,워드프로세서1급,3249
11034,전산회계2급 (국가공인),33241,회계정보처리(FAT)1급 (국가공인),3218
11034,전산회계2급 (국가공인),9953,워드프로세서1급,3215
26812,정보기술자격(ITQ) 아래한글 A등급,9953,워드프로세서1급,3204
10390,한식조리기능사,9949,영양사,3178
27706,ITQ Master (파워포인트),27707,ITQ Master (엑셀),3162
10071,웹디자인기능사,10370,컴퓨터그래픽스운용기능사,3151
10133,컴퓨터활용능력2급,9908,간호조무사,3137
10133,컴퓨터활용능력2급,17069,사회복지사2급,3081
10132,컴퓨터활용능력1급,10682,정보처리기사,3064
10593,소방설비기사(기계분야),10594,소방설비기사(전기분야),3036
11028,전산세무2급 (국가공인),26812,정보기술자격(ITQ) 아래한글 A등급,3028
11028,전산세무2급 (국가공인),9953,워드프로세서1급,3023
11028,전산세무2급 (국가공인),33238,세무정보처리(TAT)2급 (국가공인),3019
11033,전산회계1급 (국가공인),31901,워드프로세서 단일등급,3018
33238,세무정보처리(TAT)2급 (국가공인),33241,회계정보처리(FAT)1급 (국가공인),2999
25450,병원코디네이터,9908,간호조무사,2993
30844,MOS Excel 2010 Expert,30846,MOS PowerPoint 2010,2991
11033,전산회계1급 (국가공인),14039,ERP 정보관리사 회계2급,2889
17220,정보기술자격(ITQ) 아래한글,17253,정보기술자격(ITQ) 한글파워포인트,2889
10502,건설안전기사,23184,건축기사,2868
10663,전기산업기사,21238,전기기능사,2868
10349,지게차운전기능사,10579,산업안전기사,2860
27097,ERP생산정보관리사 2급,28380,ERP 물류정보관리사 2급,2834
11033,전산회계1급 (국가공인),32690,세무정보처리(TAT) 2급(국가공인),2788
11033,전산회계1급 (국가공인),9954,워드프로세서2급,2785
10571,사무자동화산업기사,9953,워드프로세서1급,2772
10579,산업안전기사,10581,산업위생관리기사,2735
10335,제빵기능사,10390,한식조리기능사,2730
10014,무역영어1급,10872,국제무역사 1급,2721
10079,위험물산업기사,10349,지게차운전기능사,2721
10133,컴퓨터활용능력2급,14037,MOS Master,2673
11033,전산회계1급 (국가공인),32689,회계정보처리(FAT) 1급,2671
10133,컴퓨터활용능력2급,10370,컴퓨터그래픽스운용기능사,2668
10079,위험물산업기사,10133,컴퓨터활용능력2급,2664
23440,GTQ포토샵1급,26812,정보기술자격(ITQ) 아래한글 A등급,2654
10132,컴퓨터활용능력1급,10662,전기기사,2651
10579,산업안전기사,10594,소방설비기사(전기분야),2647
23038,정보기술자격(ITQ)파워포인트 A등급,26812,정보기술자격(ITQ) 아래한글 A등급,2642
11028,전산세무2급 (국가공인),32690,세무정보처리(TAT) 2급(국가공인),2607
10302,일식조리기능사,10390,한식조리기능사,2606
10133,컴퓨터활용능력2급,21080,정보기술자격(ITQ)OA마스터,2600
11028,전산세무2급 (국가공인),25804,정보기술자격(ITQ)한글엑셀 A등급,2596
33723,사회복지사2급,9908,간호조무사,2568
9949,영양사,9958,위생사,2551
25283,화물운송종사,31908,버스운전자격,2550
10682,정보처리기사,9953,워드프로세서1급,2544
17069,사회복지사2급,9908,간호조무사,2512
23346,정보기술자격(ITQ)한글파워포인트 B등급,26812,정보기술자격(ITQ) 아래한글 A등급,2487
24017,정보기술자격(ITQ)한글엑셀 B등급,26812,정보기술자격(ITQ) 아래한글 A등급,2482
10682,정보처리기사,14567,리눅스마스터2급,2470
10682,정보처리기사,10949,네트워크관리사2급,2466
10378,특수용접기능사,24233,용접기능사,2457
10278,양식조리기능사,10302,일식조리기능사,2444
21078,요양보호사1급,9908,간호조무사,2426
10502,건설안전기사,10579,산업안전기사,2415
17069,사회복지사2급,18184,보육교사2급,2403
10278,양식조리기능사,10335,제빵기능사,2398
10133,컴퓨터활용능력2급,17253,정보기술자격(ITQ) 한글파워포인트,2393
11033,전산회계1급 (국가공인),27193,ERP 회계 정보관리사 2급 (국가공인),2387
10132,컴퓨터활용능력1급,27288,한국사능력검정시험 2급,2387
10349,지게차운전기능사,21565,로더운전기능사,2366
10104,전산회계운용사3급,25804,정보기술자격(ITQ)한글엑셀 A등급,2365
27705,ITQ Master (한글),27706,ITQ Master (파워포인트),2363
10333,제과기능사,10390,한식조리기능사,2330
10682,정보처리기사,35054,데이터분석준전문가(ADsP),2329
17266,유통관리사2급,9926,물류관리사,2326
27193,ERP 회계 정보관리사 2급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),2314
10616,식품기사,9958,위생사,2306
11033,전산회계1급 (국가공인),14555,회계관리2급(국가공인),2289
11028,전산세무2급 (국가공인),27287,한국사능력검정시험 1급,2278
11034,전산회계2급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),2277
21625,정보기술자격(ITQ)인터넷 A등급,26812,정보기술자격(ITQ) 아래한글 A등급,2272
10132,컴퓨터활용능력1급,10579,산업안전기사,2268
11028,전산세무2급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),2249
25805,정보기술자격(ITQ)한글파워포인트 A등급,9953,워드프로세서1급,2249
10949,네트워크관리사2급,14567,리눅스마스터2급,2248
10071,웹디자인기능사,23440,GTQ포토샵1급,2241
10132,컴퓨터활용능력1급,35054,데이터분석준전문가(ADsP),2235
10579,산업안전기사,10606,수질환경기사,2232
10349,지게차운전기능사,21256,소방안전관리자2급,2231
10079,위험물산업기사,10547,대기환경기사,2226
11033,전산회계1급 (국가공인),14047,기업회계3급,2219
10483,산업안전산업기사,10539,기계정비산업기사,2205
10330,정보처리기능사,11033,전산회계1급 (국가공인),2196
27705,ITQ Master (한글),27707,ITQ Master (엑셀),2193
